device_id,device_type,operating_system,first_seen,last_seen
D0001,Mobile,iOS,2023-03-14 10:25:12,2023-12-21 10:25:12
D0002,Desktop,iOS,2021-05-16 17:40:17,2022-01-05 17:40:17
D0003,Mobile,iOS,2023-11-09 00:15:31,2024-02-08 00:15:31
D0004,Mobile,iOS,2022-07-28 10:33:29,2022-10-25 10:33:29
D0005,Desktop,Android,2020-07-18 08:58:05,2021-11-07 08:58:05
D0006,Tablet,Android,2020-08-15 08:42:36,2021-04-28 08:42:36
D0007,Mobile,iOS,2023-01-01 11:26:49,2024-04-23 11:26:49
D0008,Mobile,Android,2020-09-30 14:20:07,2021-01-14 14:20:07
D0009,Mobile,Android,2022-03-13 12:53:21,2022-12-28 12:53:21
D0010,Mobile,Android,2024-04-17 23:41:35,2024-06-30 00:00:00
D0011,Mobile,iOS,2020-01-07 08:09:38,2020-06-03 08:09:38
D0012,Mobile,iOS,2020-01-27 05:30:06,2020-03-11 05:30:06
D0013,Mobile,iOS,2024-04-20 01:26:07,2024-06-30 00:00:00
D0014,Mobile,Android,2022-07-13 21:34:02,2023-10-16 21:34:02
D0015,Mobile,Android,2020-07-19 18:31:04,2021-01-16 18:31:04
D0016,Desktop,Android,2023-11-20 12:46:11,2024-06-30 00:00:00
D0017,Desktop,Android,2023-10-24 18:16:45,2024-06-28 18:16:45
D0018,Desktop,iOS,2022-04-28 06:27:26,2022-12-02 06:27:26
D0019,Mobile,iOS,2022-09-10 16:11:59,2023-06-16 16:11:59
D0020,Tablet,Android,2021-03-08 04:22:16,2021-07-04 04:22:16
D0021,Mobile,Android,2020-03-20 22:07:54,2021-07-27 22:07:54
D0022,Tablet,Android,2022-07-29 14:32:34,2023-09-16 14:32:34
D0023,Mobile,iOS,2021-04-11 07:15:54,2022-04-24 07:15:54
D0024,Mobile,iOS,2022-11-15 20:21:50,2023-07-23 20:21:50
D0025,Mobile,Android,2023-08-15 22:33:24,2023-11-24 22:33:24
D0026,Mobile,iOS,2020-01-29 17:31:10,2021-05-05 17:31:10
D0027,Desktop,Android,2022-07-31 10:03:38,2023-02-06 10:03:38
D0028,Desktop,Android,2020-12-31 21:15:34,2021-02-22 21:15:34
D0029,Mobile,Windows,2023-10-14 11:47:54,2024-04-21 11:47:54
D0030,Tablet,Android,2021-02-05 07:08:02,2022-03-15 07:08:02
D0031,Mobile,Android,2022-08-24 05:43:13,2023-07-12 05:43:13
D0032,Mobile,iOS,2022-05-25 16:50:19,2023-06-11 16:50:19
D0033,Mobile,Android,2021-09-18 17:38:58,2022-10-26 17:38:58
D0034,Mobile,iOS,2022-12-07 23:54:18,2023-04-15 23:54:18
D0035,Mobile,Android,2023-02-22 04:01:17,2024-05-31 04:01:17
D0036,Mobile,Android,2022-06-15 21:29:39,2023-02-05 21:29:39
D0037,Mobile,Android,2023-04-14 19:46:31,2024-03-09 19:46:31
D0038,Mobile,Android,2024-04-04 18:22:46,2024-05-05 18:22:46
D0039,Mobile,Android,2021-10-25 06:56:02,2023-03-05 06:56:02
D0040,Desktop,Android,2022-03-25 01:41:21,2022-09-03 01:41:21
D0041,Desktop,iOS,2020-01-20 17:27:22,2020-03-19 17:27:22
D0042,Mobile,Android,2023-06-13 07:36:44,2024-02-13 07:36:44
D0043,Mobile,Android,2022-04-03 00:05:42,2022-07-02 00:05:42
D0044,Desktop,Android,2021-10-07 09:28:46,2022-01-16 09:28:46
D0045,Desktop,Android,2020-05-28 19:43:27,2021-04-20 19:43:27
D0046,Tablet,Android,2023-11-08 10:28:30,2024-06-09 10:28:30
D0047,Tablet,iOS,2021-09-16 21:38:05,2022-12-23 21:38:05
D0048,Tablet,Android,2022-12-15 20:15:29,2023-06-13 20:15:29
D0049,Tablet,iOS,2020-08-24 07:26:16,2021-08-30 07:26:16
D0050,Mobile,Windows,2024-03-01 04:06:58,2024-06-30 00:00:00
D0051,Mobile,Android,2020-10-09 07:04:36,2021-09-14 07:04:36
D0052,Mobile,Android,2020-11-11 16:12:37,2021-09-18 16:12:37
D0053,Mobile,Android,2023-09-20 21:51:40,2024-05-29 21:51:40
D0054,Desktop,iOS,2023-12-14 16:56:29,2024-06-30 00:00:00
D0055,Desktop,Android,2020-12-01 14:48:45,2021-06-10 14:48:45
D0056,Tablet,iOS,2022-01-13 05:24:00,2022-05-06 05:24:00
D0057,Mobile,iOS,2023-03-06 09:20:04,2024-02-17 09:20:04
D0058,Mobile,iOS,2023-10-21 13:47:24,2024-06-30 00:00:00
D0059,Mobile,Android,2021-08-22 15:52:21,2021-10-09 15:52:21
D0060,Tablet,Windows,2022-03-28 22:11:45,2022-11-24 22:11:45
D0061,Mobile,Android,2023-03-19 09:29:19,2024-06-10 09:29:19
D0062,Mobile,Android,2023-03-02 15:46:14,2024-03-18 15:46:14
