transaction_id,user_id,timestamp,amount,merchant_id,category,location_id,device_id,payment_method,transaction_status,refund_flag,chargeback_flag
T000426,U0082,2024-03-24 20:01:45,100577.0,M0027,entertainment,Surabaya,D0150,e-wallet,completed,0,0
T000076,U0005,2024-04-24 10:57:01,469089.0,M0029,gaming,Makassar,D0005,debit_card,completed,0,0
T000182,U0105,2024-05-22 10:28:20,42991.0,M0041,transfer,Yogyakarta,D0105,credit_card,completed,0,0
T000031,U0045,2024-06-07 11:20:29,290878.0,M0046,food_beverage,Bali,D0045,debit_card,failed,0,0
T000365,U0078,2024-05-04 02:12:45,158330.0,M0048,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000409,U0156,2024-02-07 23:12:01,160196.0,M0047,retail,Semarang,D0156,credit_card,completed,0,0
T000254,U0123,2024-03-23 08:11:42,362504.0,M0038,gaming,Jakarta,D0123,e-wallet,pending,0,0
T000156,U0199,2024-02-22 16:19:21,664329.0,M0051,travel,Jakarta,D0160,e-wallet,completed,0,0
T000169,U0019,2024-06-01 20:06:39,95261.0,M0030,e-commerce,Bali,D0019,debit_card,completed,0,0
T000416,U0103,2024-01-24 11:32:20,13168790.0,M0005,transfer,Jakarta,D0103,bank_transfer,completed,0,0
T000153,U0183,2024-06-22 16:29:10,673423.0,M0075,food_beverage,Depok,D0160,bank_transfer,completed,0,0
T000071,U0058,2024-01-21 23:27:52,212699.0,M0056,travel,Bandung,D0058,credit_card,completed,0,0
T000204,U0132,2024-05-20 04:04:15,113792.0,M0021,transfer,Palembang,D0132,credit_card,completed,0,0
T000336,U0034,2024-02-15 00:18:39,82128.0,M0042,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000040,U0015,2024-04-25 13:30:10,676359.0,M0013,transfer,Surabaya,D0015,debit_card,completed,0,0
T000396,U0156,2024-03-10 22:24:30,428403.0,M0073,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000275,U0102,2024-05-07 15:04:01,200408.0,M0050,entertainment,Semarang,D0102,bank_transfer,completed,0,0
T000073,U0010,2024-03-08 15:25:51,203597.0,M0019,bills,Bandung,D0010,credit_card,completed,0,0
T000010,U0090,2024-02-26 19:21:01,237945.0,M0046,food_beverage,Bandung,D0090,debit_card,completed,0,0
T000282,U0180,2024-03-28 15:25:24,236179.0,M0001,entertainment,Yogyakarta,D0160,e-wallet,completed,0,0
T000288,U0029,2024-06-23 16:34:38,145535.0,M0013,transfer,Jakarta,D0029,bank_transfer,completed,0,0
T000363,U0078,2024-04-22 09:17:02,610628.0,M0022,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000354,U0078,2024-06-18 08:36:35,1075784.0,M0080,retail,Semarang,D0078,credit_card,completed,1,0
T000056,U0197,2024-02-27 06:16:27,105049.0,M0073,e-commerce,Medan,D0160,debit_card,completed,0,0
T000290,U0088,2024-03-04 08:35:15,95588.0,M0007,food_beverage,Bandung,D0088,e-wallet,completed,0,0
T000199,U0168,2024-02-03 04:20:02,77385.0,M0037,transfer,Bali,D0160,credit_card,pending,0,0
T000149,U0018,2024-06-10 15:45:28,241915.0,M0072,bills,Jakarta,D0018,debit_card,completed,0,0
T000393,U0156,2024-05-27 03:15:38,855485.0,M0054,retail,Semarang,D0156,credit_card,completed,0,0
T000342,U0034,2024-05-17 04:50:36,579008.0,M0012,retail,Surabaya,D0034,credit_card,completed,0,0
T000269,U0044,2024-02-07 18:21:19,378453.0,M0023,transfer,Surabaya,D0044,credit_card,completed,0,0
T000127,U0025,2024-05-11 08:26:42,192549.0,M0004,e-commerce,Yogyakarta,D0025,bank_transfer,completed,0,0
T000401,U0156,2024-04-07 03:03:21,809210.0,M0024,retail,Semarang,D0156,credit_card,completed,0,0
T000306,U0112,2024-05-08 14:32:00,180000.0,M0041,transfer,Surabaya,D0112,credit_card,completed,0,0
T000094,U0066,2024-05-29 03:04:31,153352.0,M0064,food_beverage,Jakarta,D0066,e-wallet,completed,0,0
T000429,U0015,2024-04-23 08:43:05,488279.0,M0056,travel,Surabaya,D0151,e-wallet,completed,0,0
T000078,U0031,2024-01-24 16:43:19,421798.0,M0068,e-commerce,Depok,D0031,debit_card,completed,0,0
T000299,U0137,2024-06-28 14:19:18,167715.0,M0027,entertainment,Depok,D0137,e-wallet,completed,0,0
T000141,U0051,2024-04-25 16:44:23,266548.0,M0019,bills,Jakarta,D0051,e-wallet,completed,0,0
T000324,U0034,2024-04-14 19:50:29,142010.0,M0052,retail,Surabaya,D0034,credit_card,completed,1,0
