user_id,registration_date,age_group,city,account_status
U0001,2023-05-01 11:32:29,26-35,Yogyakarta,active
U0002,2023-11-30 04:16:28,46-55,Surabaya,active
U0003,2022-07-02 19:27:38,36-45,Makassar,active
U0004,2021-06-07 10:10:22,18-25,Semarang,active
U0005,2021-01-16 05:54:40,56+,Jakarta,active
U0006,2021-09-09 05:50:55,46-55,Depok,active
U0007,2021-05-25 05:07:26,26-35,Yogyakarta,active
U0008,2023-01-12 08:36:22,46-55,Yogyakarta,active
U0009,2021-05-14 06:50:03,18-25,Jakarta,active
U0010,2022-07-08 22:11:55,56+,Bandung,active
U0011,2023-01-30 12:33:16,36-45,Surabaya,active
U0012,2022-09-28 17:47:51,36-45,Palembang,active
U0013,2021-08-07 13:18:34,18-25,Medan,active
U0014,2023-05-30 17:05:36,46-55,Bali,suspended
U0015,2023-02-22 15:43:46,18-25,Surabaya,active
U0016,2023-03-20 10:45:50,18-25,Jakarta,active
U0017,2021-05-24 09:03:08,18-25,Bandung,active
U0018,2021-05-16 09:16:47,36-45,Jakarta,active
U0019,2023-10-12 18:04:56,18-25,Bali,active
U0020,2022-03-11 22:48:47,46-55,Medan,active
U0021,2021-11-26 05:42:31,36-45,Yogyakarta,active
U0022,2022-06-19 12:15:45,18-25,Surabaya,active
U0023,2022-12-27 04:09:45,18-25,Depok,suspended
U0024,2023-11-12 10:50:39,18-25,Makassar,active
U0025,2021-11-10 08:55:55,36-45,Yogyakarta,suspended
U0026,2023-10-09 17:46:12,46-55,Jakarta,active
U0027,2021-01-28 04:42:38,18-25,Bandung,active
U0028,2022-08-31 09:16:47,46-55,Jakarta,active
U0029,2022-11-25 13:39:01,18-25,Jakarta,active
U0030,2021-04-26 20:26:32,46-55,Semarang,active
U0031,2021-06-03 12:45:23,56+,Yogyakarta,active
U0032,2022-04-04 12:15:56,36-45,Depok,active
U0033,2023-11-24 01:23:06,36-45,Surabaya,active
U0034,2022-10-15 01:41:35,46-55,Surabaya,active
U0035,2023-10-18 17:27:27,18-25,Bandung,active
U0036,2023-05-30 23:18:00,18-25,Jakarta,active
U0037,2022-05-27 07:34:16,18-25,Jakarta,active
U0038,2023-05-09 12:44:56,26-35,Bandung,active
U0039,2021-01-20 12:19:21,36-45,Jakarta,active
U0040,2021-04-30 09:41:05,36-45,Semarang,active
U0041,2023-06-27 09:28:39,46-55,Surabaya,active
U0042,2023-05-22 17:13:46,18-25,Bali,active
U0043,2021-09-12 12:12:55,36-45,Semarang,active
U0044,2022-08-04 15:53:10,18-25,Surabaya,active
U0045,2022-10-25 23:33:04,26-35,Bali,active
U0046,2023-08-08 07:21:14,36-45,Bali,active
U0047,2022-10-22 19:10:53,56+,Surabaya,active
U0048,2022-03-28 08:28:44,36-45,Jakarta,active
U0049,2022-02-14 08:34:34,18-25,Semarang,active
U0050,2022-04-11 21:57:36,36-45,Jakarta,active
U0051,2022-12-15 05:06:03,18-25,Jakarta,active
U0052,2023-08-08 00:50:02,46-55,Jakarta,active
U0053,2022-05-12 13:30:59,36-45,Yogyakarta,active
U0054,2021-09-29 03:16:32,18-25,Semarang,active
U0055,2021-09-16 21:48:25,18-25,Semarang,active
U0056,2023-03-28 03:21:03,18-25,Yogyakarta,active
U0057,2023-06-13 07:49:46,56+,Bandung,active
U0058,2021-04-26 04:10:52,26-35,Bandung,active
U0059,2021-03-14 19:34:09,36-45,Jakarta,active
U0060,2022-10-13 07:27:00,36-45,Jakarta,active
U0061,2021-06-09 21:55:28,36-45,Semarang,active
U0062,2023-06-22 04:22:58,18-25,Bandung,active
U0063,2021-12-06 12:08:49,56+,Bandung,active
U0064,2021-06-07 09:30:05,26-35,Yogyakarta,active
U0065,2023-10-05 13:00:02,36-45,Medan,active
U0066,2021-07-01 02:12:03,36-45,Bandung,active
U0067,2021-11-08 11:36:37,36-45,Bandung,active
U0068,2021-06-18 01:16:23,56+,Surabaya,suspended
U0069,2021-05-07 08:18:25,18-25,Jakarta,active
U0070,2021-01-24 03:15:44,26-35,Surabaya,active
U0071,2021-03-02 14:27:42,26-35,Jakarta,active
U0072,2021-07-11 01:23:11,26-35,Surabaya,active
U0073,2021-02-28 09:35:45,18-25,Makassar,suspended
U0074,2022-10-09 17:04:19,18-25,Jakarta,active
U0075,2023-01-15 16:50:26,26-35,Jakarta,active
U0076,2022-03-07 15:09:40,26-35,Jakarta,active
U0077,2021-12-14 21:10:27,26-35,Jakarta,active
U0078,2022-07-06 22:50:27,36-45,Semarang,active
U0079,2023-08-16 06:07:47,36-45,Bandung,active
U0080,2023-07-21 03:18:43,26-35,Yogyakarta,active
U0081,2021-02-17 13:28:52,26-35,Semarang,active
U0082,2021-07-18 13:25:20,18-25,Surabaya,active
U0083,2021-09-16 23:58:24,36-45,Bali,active
U0084,2021-09-30 19:55:12,26-35,Jakarta,active
U0085,2022-09-17 22:17:04,18-25,Jakarta,active
U0086,2022-04-01 09:23:10,26-35,Jakarta,active
U0087,2021-02-23 21:12:58,26-35,Yogyakarta,active
U0088,2022-02-13 17:36:46,18-25,Bandung,active
U0089,2022-07-27 23:39:26,36-45,Jakarta,active
U0090,2021-04-22 05:29:50,36-45,Bandung,active
U0091,2023-07-01 19:17:16,36-45,Jakarta,active
U0092,2021-02-26 20:18:38,36-45,Semarang,active
U0093,2023-10-09 18:38:53,36-45,Surabaya,active
U0094,2021-04-19 10:18:52,26-35,Surabaya,active
U0095,2023-07-12 20:54:14,36-45,Surabaya,active
U0096,2023-09-15 12:03:39,26-35,Medan,active
U0097,2023-12-08 15:36:28,26-35,Surabaya,active
U0098,2023-05-28 09:59:29,36-45,Jakarta,active
U0099,2023-05-03 17:57:44,26-35,Jakarta,active
U0100,2022-12-04 21:02:27,26-35,Depok,active
U0101,2023-05-03 05:19:41,36-45,Palembang,active
U0102,2021-05-28 04:48:10,46-55,Semarang,active
U0103,2022-08-10 11:00:08,56+,Jakarta,active
U0104,2022-07-17 13:26:08,26-35,Depok,active
U0105,2023-07-28 04:24:51,26-35,Yogyakarta,active
U0106,2022-05-22 07:15:36,36-45,Semarang,active
U0107,2022-02-26 06:54:35,26-35,Surabaya,active
U0108,2022-12-01 16:22:23,46-55,Jakarta,active
U0109,2021-10-19 12:15:39,26-35,Jakarta,active
U0110,2021-06-02 21:45:33,18-25,Palembang,active
U0111,2022-06-07 19:08:44,18-25,Bandung,suspended
U0112,2022-04-02 01:50:50,46-55,Jakarta,active
U0113,2021-09-12 10:21:22,18-25,Surabaya,active
U0114,2022-02-07 01:23:24,26-35,Medan,active
U0115,2022-02-05 20:00:00,26-35,Jakarta,active
U0116,2021-12-25 06:43:24,18-25,Makassar,active
U0117,2022-02-20 03:12:31,26-35,Yogyakarta,active
U0118,2023-01-21 04:52:38,36-45,Semarang,active
U0119,2021-11-21 18:47:19,18-25,Surabaya,active
U0120,2023-11-05 01:12:49,46-55,Medan,active
U0121,2023-09-30 11:38:00,46-55,Medan,active
U0122,2022-06-11 02:47:03,26-35,Medan,active
U0123,2021-12-26 05:27:06,18-25,Jakarta,active
U0124,2022-08-09 18:22:33,36-45,Surabaya,active
U0125,2023-07-18 07:48:15,18-25,Jakarta,active
U0126,2022-12-15 22:19:59,26-35,Bandung,active
U0127,2023-05-31 00:06:42,56+,Surabaya,active
U0128,2022-08-06 19:09:21,56+,Jakarta,active
U0129,2022-11-24 09:53:06,36-45,Jakarta,active
U0130,2021-11-12 05:48:49,26-35,Medan,active
U0131,2023-03-15 23:21:17,36-45,Jakarta,active
U0132,2021-08-10 10:20:05,36-45,Palembang,active
U0133,2023-01-31 02:37:10,26-35,Medan,active
U0134,2023-07-31 15:02:23,36-45,Surabaya,active
U0135,2021-05-25 12:29:31,18-25,Medan,active
U0136,2022-11-04 03:09:16,18-25,Jakarta,active
U0137,2021-04-15 00:50:02,26-35,Depok,active
U0138,2023-03-05 22:23:22,18-25,Bandung,active
U0139,2021-04-03 10:27:14,18-25,Yogyakarta,active
U0140,2023-10-21 22:02:09,46-55,Jakarta,active
U0141,2021-05-31 07:46:57,56+,Bandung,active
U0142,2023-11-16 00:21:35,36-45,Bandung,active
U0143,2023-05-27 04:00:53,46-55,Palembang,active
U0144,2022-10-12 11:42:52,56+,Medan,active
U0145,2023-05-07 04:34:42,18-25,Bandung,active
U0146,2023-05-20 20:32:06,26-35,Jakarta,active
U0147,2023-11-01 22:53:11,26-35,Surabaya,active
U0148,2021-10-05 04:50:00,18-25,Bandung,active
U0149,2022-10-08 13:01:57,36-45,Surabaya,active
U0150,2021-04-14 23:36:42,26-35,Jakarta,active
U0151,2022-11-06 02:02:47,26-35,Bali,active
U0152,2021-07-07 09:25:28,18-25,Makassar,active
U0153,2022-09-11 01:20:35,18-25,Jakarta,active
U0154,2022-09-19 05:44:08,46-55,Bandung,active
U0155,2022-05-25 18:54:22,18-25,Jakarta,active
U0156,2022-07-26 18:13:11,18-25,Semarang,active
U0157,2023-04-16 17:34:21,26-35,Jakarta,active
U0158,2023-05-25 08:58:09,26-35,Semarang,active
U0159,2022-06-23 09:58:29,36-45,Yogyakarta,active
U0160,2022-10-18 22:55:31,26-35,Yogyakarta,active
U0161,2023-10-16 18:32:18,18-25,Jakarta,active
U0162,2021-05-11 23:43:30,18-25,Palembang,active
U0163,2021-05-09 02:40:16,46-55,Jakarta,active
U0164,2021-04-06 22:53:16,36-45,Jakarta,active
U0165,2022-12-21 16:51:30,36-45,Bandung,active
U0166,2022-04-03 22:58:46,36-45,Surabaya,active
U0167,2023-04-28 02:34:59,36-45,Bali,active
U0168,2023-01-05 07:51:07,18-25,Bali,active
U0169,2021-12-31 23:59:34,26-35,Surabaya,active
U0170,2023-09-10 19:30:43,26-35,Depok,active
U0171,2023-04-15 05:02:38,26-35,Jakarta,active
U0172,2021-10-23 23:09:55,46-55,Bandung,active
U0173,2022-02-03 10:13:32,26-35,Jakarta,active
U0174,2021-12-10 23:56:10,36-45,Palembang,active
U0175,2021-06-22 10:15:05,46-55,Jakarta,active
U0176,2021-06-11 16:12:00,26-35,Jakarta,active
U0177,2023-10-22 02:57:45,46-55,Surabaya,active
U0178,2022-04-25 01:36:30,36-45,Depok,active
U0179,2022-02-24 08:26:42,46-55,Makassar,active
U0180,2023-03-10 06:37:40,26-35,Yogyakarta,active
U0181,2022-08-28 23:23:09,26-35,Makassar,active
U0182,2023-10-22 03:17:29,26-35,Makassar,active
U0183,2023-05-04 15:35:45,18-25,Bandung,active
U0184,2022-06-09 10:19:38,26-35,Surabaya,active
U0185,2022-02-16 17:41:39,46-55,Yogyakarta,suspended
U0186,2023-12-16 08:59:52,36-45,Semarang,active
U0187,2023-02-25 05:30:45,18-25,Surabaya,active
U0188,2023-11-07 14:34:01,26-35,Jakarta,active
U0189,2021-05-10 14:46:24,18-25,Yogyakarta,active
U0190,2023-07-20 11:36:44,18-25,Jakarta,active
U0191,2022-11-28 23:00:42,56+,Palembang,active
U0192,2021-05-14 09:10:32,26-35,Jakarta,active
U0193,2022-10-06 13:18:07,26-35,Jakarta,active
U0194,2023-01-21 14:08:46,36-45,Bali,active
U0195,2021-01-14 11:01:09,18-25,Jakarta,active
U0196,2022-05-13 00:34:20,26-35,Jakarta,active
U0197,2023-06-22 23:41:22,36-45,Medan,active
U0198,2021-11-20 02:56:47,36-45,Makassar,active
U0199,2022-05-17 15:38:18,56+,Jakarta,active
U0200,2022-04-29 21:23:58,36-45,Surabaya,active
